name,address
부산서구문화원화장실,"부산광역시 서구 까치고개로197번길 46, 서구문화원 (아미동2가)"
서대신4동주민센터,"부산광역시 서구 꽃마을로 58, 서대신4동주민센터 (서대신동3가)"
수산물유통시설관리사업소 냉동,"부산광역시 서구 원양로 35, 국제수산물도매시장 (암남동)"
서구종합사회복지관 화장실,부산광역시 서구 망양로193번길 104 (동대신동1가)
아미파출소,"부산광역시 서구 해돋이로 267, 아미치안센타 (아미동2가)"
동대신동지하철역,부산광역시 서구 구덕로 지하290 (동대신동2가)
송도스포츠센터 화장실,부산광역시 서구 송도해변로 121 (암남동)
부민119안전센터,"부산광역시 서구 임시수도기념로 21-4, 중부소방서 (부민동3가)"
서구청,"부산광역시 서구 구덕로 120, 서구청 (토성동4가)"
구덕청소년 수련관,"부산광역시 서구 꽃마을로156번길 109, 구덕청소년수련관 (서대신동3가)"
송도 해양레포츠센터 내,부산광역시 서구 송도해변로50
상수도사업본부(서부사업소),부산광역시 서구 자갈치로 7 (충무동1가)
대신공원 관리사무실 뒤,부산광역시 서구 보수대로320번길 59 (서대신동3가)
동대신3동주민센터,"부산광역시 서구 대영로73번길 92, 동대신3동주민센터 (동대신동3가)"
초장동주민센터,부산광역시 서구 초장로27번길 32
광복기념관,"부산광역시 서구 망양로193번길 167, 광복기념관 (동대신동2가)"
서부교육청,"부산광역시 서구 꽃마을로 33, 부산서부교육청 (서대신동3가)"
국민보험공단 부산서부지사,부산광역시 서구 구덕로285번길 7 (서대신동1가)
서구 현장사무실 화장실,부산광역시 서구 새벽해안시장길
서구노인복지관 화장실,"부산광역시 서구 장군산로46번길 21, 서구노인복지관 (암남동)"
암남동 예비군교장,부산광역시 서구 암남공원로522번길160
구덕야영장,부산광역시 서구 보수대로320번길 59
천마산 체육시설,부산광역시 서구 암남동 산4-26
암남공원1호광장(두도-희망정),부산광역시 서구 암남동 193-4(암남공원 후문)
송림공원 내,부산광역시 서구 송도해변로171
내원정사 옆,부산광역시 서구 보수대로320번길 59
구덕문화공원(주차장),"부산광역시 서구 꽃마을로163번길 73, 구덕문화공원 (서대신동3가)"
송도오션파크,부산광역시 서구 송도해변로 36
서구가족복지센터,"부산광역시 서구 구덕로 127, 1층 (토성동5가)"
서부산세무서,"부산광역시 서구 대영로 10, 서부산세무서 (서대신동2가)"
암남공원3호광장(주차장),부산광역시 서구 암남동 620-27
남부민동 현장사무실 화장실,"부산광역시 서구 충무대로 166-24, 항만관리사업소 (남부민동)"
구름산책로,부산광역시 서구 송도해변로152
대신공원 민속예술관 옆,부산광역시 서구 대신공원로 37-20 (서대신동3가)
천마산 조각공원,부산광역시 서구 암남동 산4-26
고신대학복음병원,"부산광역시 서구 감천로 262, 고신대학교의과대학, 고신대학교복음병원 (암남동)"
충무동 주민센터,"부산광역시 서구 구덕로148번길 16, 충무동주민센터 (토성동5가)"
삼육부산병원,"부산광역시 서구 대티로 170, 삼육부산병원 (서대신동2가)"
수산물유통시설관리사업소주차장,"부산광역시 서구 원양로 35, 국제수산물도매시장 (암남동)"
암남공원 입구,부산광역시 서구 암남동 630-37
구덕도서관,"부산광역시 서구 대신공원로 41, 부산광역시립구덕도서관 (서대신동3가)"
암남동 주민센터,부산광역시 서구 충무대로 83
구덕우편취급국,부산광역시 서구 꽃마을로 42 (서대신동3가)
수산물유통시설관리사업소도매동,"부산광역시 서구 원양로 35, 국제수산물도매시장 (암남동)"
수산물유통시설관리사업소활어장,"부산광역시 서구 원양로 35, 국제수산물도매시장 (암남동)"
동대신1동 주민센터,부산광역시 서구 280번길 32
서대신우체국,"부산광역시 서구 구덕로 313, 부산서대신동우체국 (서대신동2가)"
서대신3동주민센터,"부산광역시 서구 대신로 27, 서대신3동주민센터 (서대신동3가)"
암남공원2호광장(다목적광장),부산광역시 서구 암남동 산 193(케이블카 후문)
서구 물양장 화장실,부산광역시 서구 새벽해안시장길
중앙공원 광장,"부산광역시 서구 망양로193번길 187, 중앙공원관리사업소 (동대신동2가)"
실버웰요양센터 화장실,"부산광역시 서구 시약로 35 (서대신동3가, 실버웰)"
구덕운동장 주경기장 26호,"부산광역시 서구 망양로 57, 구덕운동장 (서대신동3가)"
서부경찰서,"부산광역시 서구 대영로 16, 부산서부경찰서 (서대신동2가)"
한국전력공사,"부산광역시 서구 보수대로 21, 한국전력공사남부건설본부 (토성동1가)"
해안시장 내,부산광역시 서구 해안새벽시장길27
부민산 체육공원,부산광역시 서구 해돋이로303번길
남부민1동 주민복합커뮤니티센터,부산광역시 서구 천마로 176 (남부민동)
부민동주민센터,"부산광역시 서구 임시수도기념로 22-11, 부민동주민센터 (부민동3가)"
충무동우체국,"부산광역시 서구 충무대로 258, 충무동우체국 (충무동1가)"
암남항,"부산광역시 서구 송도해변로 10-3, 부산해양경찰서 남항파출소 송도출장소 (암남동)"
충무지구대,부산광역시 서구 임시수도기념로 36 (부민동3가)
구덕문화공원(인공폭포 앞),"부산광역시 서구 꽃마을로163번길 73, 구덕문화공원 (서대신동3가)"
송도지구대,부산광역시 서구 충무대로 84 (암남동)
남항파출소,"부산광역시 서구 해안새벽시장길 91, 부산해양경찰서 남항파출소 (남부민동)"
토성동지하철역,부산광역시 서구 구덕로 지하170 (토성동3가)
대신공원 매점 옆,부산광역시 서구 대신공원로 37-23 (서대신동3가)
아미동 주민센터,"부산광역시 서구 해돋이로269번길 17, 아미동주민센터 (아미동2가)"
암남공원 (풍차),부산광역시 서구 암남동 산 193
임해행정봉사실,부산광역시 서구 송도해변로 100
서대신1동 주민센터,"부산광역시 서구 구덕로315번길 49, 서대신1동주민센터 (서대신동2가)"
구덕운동장 체육공원,"부산광역시 서구 망양로 57, 구덕운동장 (서대신동3가)"
서대신동지하철역,부산광역시 서구 대영로 지하1 (서대신동2가)
송도우체국,"부산광역시 서구 충무대로 47, 부산송도우체국 (암남동)"
임시수도기념관 화장실,"부산광역시 서구 임시수도기념로 45, 임시수도기념관 (부민동3가)"
수산물유통시설관리사업소 가동,"부산광역시 서구 원양로 35, 국제수산물도매시장 (암남동)"
남부민1동 주민센터,"부산광역시 서구 충무대로255번길 5-26, 남부민1동주민센터 (남부민동)"
수산물유통시설관리사업소회관동,"부산광역시 서구 원양로 35, 국제수산물도매시장 (암남동)"
구덕지구대,"부산광역시 서구 보수대로 258-5, 동대치안센터 (동대신동3가)"
부산국민체육센터,"부산광역시 서구 대신로 150, 부산국민체육센터 (서대신동3가)"
꽃마을,부산광역시 서구 꽃마을로 159(서대신동3가)
남항체육시설,부산광역시 서구 등대로 107
동대신2동주민센터,"부산광역시 서구 보동길275번길 9, 동대신2동주민센터 (동대신동2가)"
아미우체국,"부산광역시 서구 구덕로 193, 부산아미동우체국 (아미동1가)"
금수사초소,부산광역시 동구 망양로 533-33(초량동) 금수사초소
부산진성공원 북문,"부산광역시 동구 자성로 99, 부산진성공원 북문,조선통신사역사관 (범일동)"
시민회관 관리동 3층 남자,"부산광역시 동구 자성로133번길 16, 시민회관 (범일동)"
안창119안전센터,"부산광역시 동구 안창로 62, 안창119안전센터 (범일동)"
시민회관 대극장 개인분장3,"부산광역시 동구 자성로133번길 16, 시민회관 (범일동)"
시민회관 관리동 2층 여자,"부산광역시 동구 자성로133번길 16, 시민회관 (범일동)"
풀랫폼 B동 장애인용,"부산광역시 동구 중앙대로 210, 유라시아 플랫폼 (초량동)"
좌천체육공원,부산광역시 동구 구청로 1(수정동) 좌천체육공원
부산진성공원 서문,"부산광역시 동구 자성로 99, 부산진성공원 서문,조선통신사역사관 (범일동)"
동구SK주유소,"부산광역시 동구 중앙대로 352, 동구SK주유소 (초량동)"
도시철도 범일역,"부산광역시 동구 범일로 지하 108, 도시철도 범일역 (범일동)"
동구청 1층 까페,"부산광역시 동구 구청로 1, 동구청 (수정동)"
수정4동초소,부산광역시 동구 구청로 1(수정동) 수정4동초소
부산진소방서 초량119안전센터,"부산광역시 동구 중앙대로260번길 7, 초량119안전센터 (초량동)"
동구종합사회복지관 1층,"부산광역시 동구 안창로 57, 동구종합사회복지관 1층 (범일동)"
시민회관 소극장 남자,"부산광역시 동구 자성로133번길 16, 시민회관 (범일동)"
수정산가족체육공원,"부산광역시 동구 수정공원로 63-1, 수정산 가족체육공원 (수정동)"
부산진세무서 1층 민원실,"부산광역시 동구 진성로 23, 부산진세무서 민원실 1층 (수정동)"
초량2동 행정복지센터 1층,"부산광역시 동구 중앙대로209번길 30, 초량2동 행정복지센터 (초량동)"
초량3동우체국 2층,"부산광역시 동구 중앙대로236번길 3-4, 초량3동우체국 2층 (초량동)"
동구보훈회관 1층,"부산광역시 동구 구청로 14, 동구보훈회관 2층 (수정동)"
동구보건소 민원실 1층,"부산광역시 동구 구청로 1, 동구보건소 민원실 1층 (수정동)"
수정1배수지공원,"부산광역시 동구 망양로672번길 19, 수정1배수지공원, 동구노인종합복지관 위 (수정동)"
시민회관 대극장 3층 우측남자,"부산광역시 동구 자성로133번길 16, 시민회관 (범일동)"
초량우체국1층,"부산광역시 동구 초량상로 71, 초량우체국 1층 (초량동)"
시립중앙도서관 수정분관(1층),부산광역시 동구 홍곡로 53 시립중앙도서관 수정분관
시민회관 관리동 지하1층여자,"부산광역시 동구 자성로133번길 16, 시민회관 (범일동)"
동구청 L층 민원실,"부산광역시 동구 구청로 1, 동구청 1층 (수정동)"
좌천동우체국 1층,"부산광역시 동구 중앙대로 471, 부산좌천동우체국 1층 (좌천동)"
시민회관 대극장 2층 놀이방,"부산광역시 동구 자성로133번길 16, 시민회관 (범일동)"
수정2동 행정복지센터 1층,"부산광역시 동구 수정중로11번길 23, 수정2동 행정복지센터 (수정동)"
시민회관 대극장 1층 우측여자,"부산광역시 동구 자성로133번길 16, 시민회관 (범일동)"
동부산우체국 1층,"부산광역시 동구 조방로 15, 동부산우체국 1층 (범일동)"
범일1동 행정복지센터 1층,"부산광역시 동구 범상로 12, 범일1동 행정복지센터(1층) (범일동)"
공영주차장 범일초등,"부산광역시 동구 증산서로 55, 공영주차장(범일초등) (범일동)"
한국가스LPG충전소,"부산광역시 동구 자성로133번길 39, 한국가스LPG충전소 (범일동)"
수정5동 행정복지센터 1층,"부산광역시 동구 망양로795번길 2, 수정5동 복합커뮤니티센터 (수정동)"
초량지구대 1층,"부산광역시 동구 초량상로65번길 2, 초량지구대 (초량동)"
노동복지회관 1층,"부산광역시 동구 자성로141번길 13, 노동복지회관 (범일동)"
부산지방국토관리층 1층 옥외,"부산광역시 동구 초량중로 67, 부산지방국토관리청 (초량동)"
플랫폼 A동,"부산광역시 동구 중앙대로 210, 유라시아 플랫폼 (초량동)"
시민회관 대극장 2층 우측남자,"부산광역시 동구 자성로133번길 16, 시민회관 (범일동)"
동구노인종합복지관 1층,부산광역시 동구 홍곡중로5번길 24 (수정동) 동구노인종합복지관 1층
동구국민체육문예센터 1층,"부산광역시 동구 구청로 8, 동구국민체육문예센터 1층 (수정동)"
증산공원(하),"부산광역시 동구 증산북로 18-7, 증산공원(하) 족구장 옆 (범일동)"
자성대파출소 1층,"부산광역시 동구 자성공원로 15, 자성지구대 (범일동)"
행복동구생활지원센터 1층,"부산광역시 동구 안창로 90, 루미네수녀 기념관 옆 (범일동)"
부산역 지하도상가,"부산광역시 동구 중앙대로 지하200, 부산역지하도상가 (초량동)"
공영주차장 수성초등,"부산광역시 동구 망양로 807, 공영주차장 수성초등 (수정동)"
도시철도 부산역,"부산광역시 동구 중앙대로 지하 200, 도시철도 부산역 (초량동)"
도시철도 초량역,"부산광역시 동구 중앙대로 지하 264, 도시철도 초량역 (초량동)"
도시철도 좌천역,"부산광역시 동구 중앙대로 지하 446, 도시철도 좌천역 (좌천동)"
시민회관 관리동 4층 여자,"부산광역시 동구 자성로133번길 16, 시민회관 (범일동)"
수정초등학교,"부산광역시 동구 진성로 29, 수정초등학교 (수정동)"
범일5동 행정복지센터 1층,"부산광역시 동구 성남로47번길 13, 범일5동 행정복지센터 (좌천동)"
시민회관 관리동 1층 남자,"부산광역시 동구 자성로133번길 16, 시민회관 (범일동)"
수정동우체국 1층,"부산광역시 동구 수정로 9, 부산 수정동우체국 1층 (수정동)"
시민회관 카페테리아 여자,"부산광역시 동구 자성로133번길 16, 시민회관 (범일동)"
도시철도 부산진역(동구청),"부산광역시 동구 중앙대로 지하 350, 부산진역 (초량동)"
시민회관 소극장 단체분장실,"부산광역시 동구 자성로133번길 16, 시민회관 (범일동)"
동구도서관 1층,"부산광역시 동구 성북로36번길 54, 동구도서관 1층 (범일동)"
증산공원(상),"부산광역시 동구 증산북로 18-7, 증산공원(상) 게이트볼장 옆 (범일동)"
초량6동 행정복지센터 1층,"부산광역시 동구 초량로 75, 초량6동 행정복지센터 (초량동)"
동구청 분수대,"부산광역시 동구 구청로 1, 동구청 (수정동)"
시민회관 대극장 개인분장실1,"부산광역시 동구 자성로133번길 16, 시민회관 (범일동)"
한국토지주택공사 2층,"부산광역시 동구 중앙대로 224, 한국토지주택공사 부산울산지역본부 2층 (초량동)"
범일2동 행정복지센터 1층,"부산광역시 동구 범일로 58, 범일2동 행정복지센터 (범일동)"
시민회관 대극장 1층 좌측여자,"부산광역시 동구 자성로133번길 16, 시민회관 (범일동)"
자성로 지하도,부산광역시 동구 성남이로60번길 6(범일동) 자성로 지하도
수성지구대 1층,"부산광역시 동구 망양로 811, 수성지구대 (수정동)"
수정1동 행정복지센터 1층,"부산광역시 동구 홍곡로 71, 수정1동 행정복지센터 (수정동)"
부산항국제여객터미널 2층,"부산광역시 동구 충장대로 206, 부산항 국제여객터미널 1,2층 (초량동)"
좌천동 행정복지센터 1층,"부산광역시 동구 좌천남로 19, 좌천동 행정복지센터 1층 (좌천동)"
수정4동 행정복지센터 1층,"부산광역시 동구 망양로685번길 2, 수정4동 행정복지센터 (수정동)"
시민회관 대극장 3층 좌측여자,"부산광역시 동구 자성로133번길 16, 시민회관 (범일동)"
soil구도일 부산진주유소,"부산광역시 동구 중앙대로 414, 부산진주유소 (좌천동)"
